Model,Dataset,Accuracy,AUC,Precision,Recall,F1,Inference_Time
LogisticRegression,In-Distribution (Train),0.7962678047981843,0.7164336718909746,0.5459383680780914,0.11353648133550735,0.18797963680571386,0.29711270332336426
LogisticRegression,Out-of-Distribution (Shift),0.8290244681984446,0.6862483755328537,0.35856125889846385,0.10784313725490197,0.16581477952005544,0.01587820053100586
RandomForest,In-Distribution (Train),0.7979442761120219,0.7290523451367622,0.6208121340117116,0.06983122590676932,0.12554112554112554,10.500567197799683
RandomForest,Out-of-Distribution (Shift),0.8397847934940872,0.6970102085122922,0.42870813397129187,0.05048456164074825,0.0903316866619619,0.4941425323486328
XGBoost,In-Distribution (Train),0.7984746914507813,0.7268889624915298,0.5883466486989444,0.09900225680009503,0.1694849458141738,3.1046981811523438
XGBoost,Out-of-Distribution (Shift),0.8369082708903015,0.6981392123477004,0.4096455549099361,0.07944557133198107,0.13308164228409627,0.22251176834106445
LightGBM,In-Distribution (Train),0.797857929428968,0.7243662260940972,0.5826579956644989,0.09432668531136283,0.1623676249866405,4.498073101043701
LightGBM,Out-of-Distribution (Shift),0.8369082708903015,0.6985202542002141,0.4084755738669806,0.07820599504169484,0.13127778303225196,0.2944958209991455
