Model,AUC_Mean,CI_Lower,CI_Upper
LogisticRegression,0.6865265034865289,0.6818057948916915,0.6909057068294246
XGBoost,0.6978969481935187,0.6922203467399465,0.7038690032335224
LightGBM,0.6982773659476854,0.6934535948310653,0.7041023830337072
